1	1	0.689273	8.750994	20.690914	0.047288
2	0	1.752545	11.440720	25.867294	0.000000
3	1	6.853008	12.993634	34.833050	0.053616
4	2	11.442547	12.993634	45.185810	0.139101
5	3	11.000162	11.440720	54.151566	0.283994
6	4	9.188061	8.750994	59.327950	0.542365
7	2	8.345943	5.645164	59.327950	0.420381
8	3	7.503329	2.955439	54.151566	1.099361
9	0	10.422645	1.402524	45.185810	0.000000
10	1	12.847666	1.402524	34.833050	0.496719
11	2	12.508568	2.955438	25.867298	0.350098
12	3	11.167605	5.645166	20.690912	0.219915
13	4	9.356878	8.750994	20.690914	0.189153
14	5	7.920150	11.440720	25.867294	0.226098
15	6	10.520611	12.993634	34.833046	0.321693
16	7	12.610151	12.993634	45.185806	0.486855
17	8	9.667768	11.440722	54.151558	0.757317
18	2	8.855667	8.750996	59.327942	0.271183
19	3	7.513551	5.645162	59.327942	0.630571
20	1	7.670938	2.955437	54.151558	0.366454
21	2	9.590255	1.402524	45.185806	1.288700
22	0	12.515275	1.402524	34.833046	0.000000
23	1	12.676176	2.955439	25.867294	0.175049
24	2	11.835214	5.645164	20.690914	0.146610
25	3	10.524487	8.750992	20.690912	0.141864
26	4	9.587757	11.440719	25.867290	0.180879
27	5	12.688217	12.993633	34.833042	0.268078
28	6	15.277750	12.993633	45.185822	0.417304
29	7	12.835363	11.440719	54.151573	0.662652
30	2	12.023262	8.750992	59.327950	0.271183
31	3	10.681146	5.645164	59.327942	0.630571
32	1	10.838529	2.955442	54.151581	0.366453
33	2	12.757843	1.402524	45.185814	1.288700
34	0	15.682860	1.402525	34.833035	0.000000
35	1	15.843761	2.955437	25.867298	0.175049
36	2	15.002800	5.645168	20.690910	0.146610
37	3	13.692072	8.750990	20.690910	0.141864
38	4	12.755344	11.440722	25.867298	0.180879
39	5	15.855799	12.993633	34.833035	0.268078
40	6	18.445335	12.993634	45.185814	0.417304
41	7	16.002954	11.440723	54.151550	0.662652
42	2	15.190853	8.750994	59.327950	0.271183
43	3	13.848737	5.645160	59.327942	0.630571
44	1	14.006123	2.955440	54.151566	0.366454
45	2	15.925442	1.402523	45.185799	1.288700
46	0	18.850466	1.402523	34.833057	0.000000
47	1	19.011366	2.955440	25.867290	0.175049
48	2	18.170404	5.645161	20.690916	0.146610
49	3	16.859676	8.750994	20.690914	0.141864
50	4	15.922945	11.440716	25.867283	0.180879
51	5	19.023409	12.993634	34.833050	0.268078
52	6	21.612940	12.993633	45.185825	0.417304
53	7	19.170555	11.440721	54.151566	0.662652
54	2	18.358454	8.750990	59.327950	0.271183
55	3	17.016336	5.645167	59.327950	0.630571
56	1	17.173723	2.955437	54.151558	0.366454
57	2	19.093035	1.402525	45.185825	1.288699
58	0	22.018055	1.402524	34.833046	0.000000
59	1	22.178959	2.955435	25.867306	0.175049
60	2	21.337997	5.645164	20.690914	0.146610
61	3	20.027271	8.750998	20.690918	0.141864
62	4	19.090542	11.440719	25.867290	0.180879
63	5	22.190990	12.993632	34.833023	0.268078
64	6	24.780514	12.993631	45.185841	0.417304
65	7	22.338127	11.440718	54.151573	0.662652
66	2	21.526026	8.750998	59.327942	0.271183
67	3	20.183908	5.645175	59.327957	0.630570
68	1	20.341295	2.955434	54.151550	0.366454
69	2	22.260611	1.402524	45.185810	1.288700
70	0	25.185637	1.402522	34.833069	0.000000
71	1	25.346535	2.955446	25.867271	0.175048
72	2	24.505573	5.645168	20.690910	0.146610
